gene_id,symbol,all_symbols,source_group,go_ids,go_names
7335,UBE2V1,UBE2V1,GO10,GO:0006301;GO:0042275,DNA damage tolerance;error-free postreplication DNA repair
7336,UBE2V2,UBE2V2,GO10,GO:0000729;GO:0006301;GO:0042275,DNA damage tolerance;DNA double-strand break processing;error-free postreplication DNA repair
7341,SUMO1,SUMO1,GO10,GO:0005643;GO:0006281;GO:0031965,DNA repair;nuclear membrane;nuclear pore
7356,SCGB1A1,SCGB1A1,GO10,GO:0005635,nuclear envelope
7374,UNG,UNG,GO10,GO:0000012;GO:0006281;GO:0006284;GO:0006974;GO:0045008;GO:0097510,"base-excision repair;base-excision repair, AP site formation via deaminated base removal;depyrimidination;DNA damage response;DNA repair;single strand break repair"
7398,USP1,USP1,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
7405,UVRAG,UVRAG,GO10,GO:0006281;GO:0006974;GO:0097680,DNA damage response;DNA repair;double-strand break repair via classical nonhomologous end joining
7415,VCP,VCP,GO10,GO:0006281;GO:0006302;GO:0006974;GO:0019985;GO:0036297;GO:0106300,DNA damage response;DNA repair;double-strand break repair;interstrand cross-link repair;protein-DNA covalent cross-linking repair;translesion synthesis
7443,VRK1,VRK1,GO10,GO:0006974,DNA damage response
7444,VRK2,VRK2,GO10,GO:0005635;GO:0006974,DNA damage response;nuclear envelope
7468,NSD2,NSD2,GO10,GO:0006302,double-strand break repair
7471,WNT1,WNT1,GO10,GO:0042770,signal transduction in response to DNA damage
7486,WRN,WRN,GO10,GO:0000724;GO:0000731;GO:0006281;GO:0006284;GO:0006298;GO:0006302;GO:0006974,base-excision repair;DNA damage response;DNA repair;DNA synthesis involved in DNA repair;double-strand break repair;double-strand break repair via homologous recombination;mismatch repair
7507,XPA,XPA,GO10,GO:0000715;GO:0005662;GO:0006281;GO:0006284;GO:0006289;GO:0006974;GO:0008630;GO:0070914;GO:1901255,"base-excision repair;DNA damage response;DNA repair;DNA replication factor A complex;intrinsic apoptotic signaling pathway in response to DNA damage;nucleotide-excision repair;nucleotide-excision repair involved in interstrand cross-link repair;nucleotide-excision repair, DNA damage recognition;UV-damage excision repair"
7508,XPC,XPC,GO10,GO:0000720;GO:0006281;GO:0006289;GO:0006298;GO:0006974;GO:0031573;GO:0070914,DNA damage response;DNA repair;mismatch repair;mitotic intra-S DNA damage checkpoint signaling;nucleotide-excision repair;pyrimidine dimer repair by nucleotide-excision repair;UV-damage excision repair
7514,XPO1,XPO1,GO10,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane
7515,XRCC1,XRCC1,GO10,GO:0000012;GO:0006281;GO:0006284;GO:0006302;GO:0006303;GO:0006974,base-excision repair;DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining;single strand break repair
7516,XRCC2,XRCC2,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
